,zwst (mg/l),egv (mS/m),cl (mg/l),so4 (mg/l),nh4 (mg N/l),nkj (mg N/l),no2 (mg N/l),no3 (mg N/l),n (mg N/l),po4o (mg P/l),po4 (mg P/l),czv (mg O2/l),bzv-5 (mg/l),na (mg/l),k (mg/l),ph (pH)
2014-10-22,13.0,3997.0,14500.0,738.0,5.5,10.5,0.0,6.5,18.5,0.0,0.0,72.5,4.5,10300.0,8.333333333333334,8.0
2014-11-19,16.5,4481.0,16150.0,155.5,1.0,3.0,0.0,0.5,4.0,0.5,0.5,65.0,5.0,10450.0,7.0,8.0
2014-12-24,79.0,2766.5,11100.0,101.0,1.0,7.0,0.0,0.0,8.0,0.0,0.5,142.5,15.0,7100.0,24.5,7.5
2015-01-15,9.0,3634.5,12650.0,392.5,7.0,12.0,0.0,0.0,13.0,0.0,0.0,85.0,8.5,10028.57142857143,29.285714285714285,8.0
2015-01-29,11.0,3808.0,13400.0,415.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,104.0,12.0,9814.285714285714,30.142857142857142,8.0
2015-03-12,12.0,4525.0,15650.0,809.5,2.5,10.0,0.0,0.0,10.0,0.0,0.0,166.0,20.5,9600.0,31.0,8.0
2015-04-09,27.0,4278.0,12200.0,6800.0,0.0,7.0,0.0,0.0,7.0,0.0,1.0,188.0,44.0,9600.0,31.0,8.0
2015-05-14,28.0,3825.0,16000.0,157.0,12.0,16.0,0.0,0.0,18.0,0.0,0.0,103.0,7.0,9600.0,31.0,8.0
2015-06-04,63.0,4516.5,16100.0,1520.0,19.5,30.0,1.0,2.0,34.0,0.0,0.5,186.0,25.5,9600.0,31.0,8.0
2015-07-02,24.5,4374.0,16400.0,98.0,0.0,2.5,0.0,0.0,2.5,4.5,5.0,101.0,12.0,9600.0,31.0,8.0
2015-07-30,39.5,3293.5,12440.0,386.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,113.0,8.0,9600.0,31.0,8.0
2015-08-27,57.0,5073.0,19350.0,295.5,9.0,15.0,0.0,0.0,15.0,0.0,0.0,97.0,14.0,9600.0,31.0,7.5
2015-09-24,49.0,4572.5,17250.0,465.0,0.0,5.5,0.0,0.0,5.5,0.0,0.0,129.5,25.5,9600.0,31.0,7.0
2015-10-22,44.5,3505.5,13050.0,313.0,11.5,18.0,0.0,0.0,18.0,0.0,0.0,140.0,11.0,9600.0,31.0,7.0
2015-11-19,30.0,3828.0,14550.0,288.5,14.0,16.0,0.0,0.0,16.0,0.0,0.0,82.0,11.5,9600.0,31.0,7.0
2015-12-03,33.0,4825.5,18500.0,165.5,8.0,9.5,0.0,0.0,9.5,0.0,0.0,81.5,11.0,9600.0,31.0,7.0
2015-12-31,26.0,4810.5,18214.0,214.0,17.5,25.5,0.0,0.0,25.5,0.0,0.5,246.0,19.0,9600.0,31.0,7.0
2016-01-22,27.5,2625.0,9372.5,1196.0,8.5,16.5,0.0,0.0,17.0,0.0,0.0,167.5,15.5,9600.0,31.0,7.0
2016-02-12,34.0,2570.0,9460.0,513.0,19.0,9.0,0.0,0.0,9.0,0.0,0.0,192.0,16.0,9600.0,31.0,7.0
2016-03-18,44.0,3560.0,13493.0,1016.0,15.0,25.0,0.0,0.0,25.0,0.0,1.0,217.0,23.0,9600.0,31.0,7.0
2016-04-15,10.0,2281.5,6516.5,1944.5,18.0,22.0,0.0,3.0,25.0,0.5,0.5,160.0,8.0,9600.0,31.0,7.0
2016-04-29,14.0,1750.5,5815.5,549.5,21.5,25.5,0.0,0.0,26.0,0.0,0.5,128.5,6.5,9600.0,31.0,7.0
2016-05-27,35.0,3300.0,12155.0,2295.0,22.0,31.0,0.0,0.0,31.0,0.0,0.0,98.66666666666667,12.333333333333334,9600.0,31.0,7.0
2016-06-10,103.5,3865.0,15500.0,1240.0,30.5,40.5,0.0,2.0,41.0,0.0,0.5,105.0,13.5,9600.0,31.0,7.0
2016-07-08,10.0,4810.0,18500.0,2350.0,0.0,2.5,0.0,2.0,2.5,0.0,1.0,43.0,2.5,9600.0,31.0,7.0
2016-07-29,16.5,4595.0,19000.0,110.0,0.0,2.5,0.0,2.0,2.5,4.0,4.0,43.0,4.0,9600.0,31.0,7.0
2016-08-26,13.0,5235.0,21500.0,1025.0,5.5,17.0,0.0,2.0,18.0,0.5,0.5,78.0,6.0,9600.0,31.0,7.0
2016-09-23,17.0,4725.0,18500.0,420.0,15.0,18.0,0.0,4.0,21.0,1.5,1.5,55.5,3.5,9600.0,31.0,7.0
2016-10-21,9.5,3890.0,13000.0,4500.0,3.5,6.5,0.0,2.0,6.5,0.0,0.0,55.0,7.0,9600.0,31.0,7.0
2016-11-25,16.5,4620.0,19000.0,260.0,0.0,4.5,0.0,2.0,4.5,2.5,3.0,68.0,11.5,9600.0,31.0,7.0
2016-12-30,63.5,4860.0,20000.0,278.0,0.5,8.5,0.0,2.0,8.5,1.0,2.0,125.0,20.0,9600.0,31.0,7.0
2017-02-12,59.5,4515.0,17500.0,165.0,0.0,4.5,0.0,2.0,4.5,0.0,0.0,115.0,18.0,9600.0,31.0,7.0
