,# STN,YYYYMMDD,HH,DD,FH,FF,FX,T,TD,SQ,Q,DR,RH,U,IX
2014-10-22,6864,483384528,300,7290,2100,2140,3300,2453,1397,0,118,11,4,1787,144
2014-11-19,6864,483386856,300,1450,490,460,750,1793,1547,26,276,0,0,2241,144
2014-12-24,6864,483389376,300,5900,1960,1960,2980,1789,1252,21,191,66,49,2062,144
2015-01-15,6864,483602760,300,4720,2420,2390,3580,1651,1138,0,49,106,50,2074,144
2015-01-29,6864,483603096,300,4890,1760,1740,2710,430,104,27,295,40,13,2180,144
2015-03-12,6864,483607488,300,2860,620,620,980,760,115,73,1295,0,0,2023,144
2015-04-09,6864,483609816,300,6590,470,490,760,1798,1369,62,1508,0,0,2143,144
2015-05-14,6864,483612336,300,5310,870,930,1360,2165,1328,15,1293,0,0,1900,144
2015-06-04,6864,483614496,300,3580,610,610,1060,3193,1844,145,2975,0,0,1719,144
2015-07-02,6864,483616848,300,4050,1300,1340,2180,6194,3964,145,2795,7,140,1412,144
2015-07-30,6864,483617520,300,6590,1530,1560,2550,3300,2496,51,1577,6,2,1944,144
2015-08-27,6864,483619848,300,4830,1390,1370,2120,3855,3458,2,560,38,62,2160,144
2015-09-24,6864,483622176,300,4800,1430,1460,2170,2987,2727,8,514,38,25,2236,144
2015-10-22,6864,483624528,300,5590,1330,1290,1910,2802,2460,0,206,32,7,2187,144
2015-11-19,6864,483626856,300,5950,2420,2400,3630,2474,1708,20,301,42,33,1940,144
2015-12-03,6864,483628872,300,4640,1530,1540,2200,2115,1483,26,245,0,0,2006,144
2015-12-31,6864,483629544,300,4530,1570,1550,2330,1523,926,35,229,16,12,2019,144
2016-01-22,6864,483842928,300,3580,1190,1210,1670,-601,-941,72,593,35,28,2143,144
2016-02-12,6864,483845088,300,3390,780,780,1160,273,97,8,343,0,0,2279,144
2016-03-18,6864,483847632,300,7610,1200,1210,1800,1334,945,0,310,0,0,2154,144
2016-04-15,6864,483849960,300,4780,860,880,1350,2271,1819,11,726,50,28,2116,144
2016-04-29,6864,483850296,300,5180,1510,1530,2430,1456,862,9,715,60,71,2030,144
2016-05-27,6864,483852648,300,2180,700,710,1170,3100,2701,68,2023,0,0,2167,144
2016-06-10,6864,483854640,300,6750,880,860,1360,3171,2179,78,2312,0,0,1859,144
2016-07-08,6864,483856992,300,5190,1020,1030,1710,3826,3428,26,980,29,47,2162,144
2016-07-29,6864,483857496,300,5280,1070,1080,1820,4531,3773,25,1276,2,8,1988,144
2016-08-26,6864,483859824,300,6330,930,950,1430,5130,4165,108,1862,0,0,1892,144
2016-09-23,6864,483862152,300,5800,840,850,1280,3605,2582,65,1115,0,0,1851,144
2016-10-21,6864,483864504,300,6210,710,670,1090,1902,1710,9,284,60,39,2262,144
2016-11-25,6864,483867000,300,1470,870,860,1240,357,338,12,233,0,-1,2383,144
2016-12-30,6864,483869520,300,5060,980,980,1420,-152,-320,56,418,0,0,2273,144
2017-02-12,6864,484085088,300,2040,1800,1810,2630,-145,-1049,72,687,0,0,1808,144
